school,code,district,api,api_old,school_latitude,school_longitude,crime_caseID,date_time,crime,crime_latitude,crime_longitude,url,description
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,96028553,2009-04-16T11:00:00-07:00,Theft,37.783032,-122.48276,http://sanfrancisco.crimespotting.org/crime/2009-04-16/Theft/645213,PETTY THEFT OF PROPERTY (ARREST&BOOKED)
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,90438201,2009-04-24T16:40:00-07:00,Burglary,37.783032,-122.48276,http://sanfrancisco.crimespotting.org/crime/2009-04-24/Burglary/647066,BURGLARY&UNLAWFUL ENTRY
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,90364004,2009-04-07T14:15:00-07:00,Simple Assault,37.782177,-122.482105,http://sanfrancisco.crimespotting.org/crime/2009-04-07/Simple_Assault/643364,THREATENING PHONE CALL(S)
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,80939394,2008-09-02T18:00:00-07:00,Burglary,37.782744,-122.48166,http://sanfrancisco.crimespotting.org/crime/2008-09-02/Burglary/751491,BURGLARY OF APARTMENT HOUSE&UNLAWFUL ENTRY
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,90398445,2009-04-16T08:40:00-07:00,Theft,37.783032,-122.48276,http://sanfrancisco.crimespotting.org/crime/2009-04-16/Theft/645193,PETTY THEFT FROM A BUILDING (ARREST&BOOKED)
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,90411451,2009-04-20T10:11:00-07:00,Narcotics,37.78212,-122.482737,http://sanfrancisco.crimespotting.org/crime/2009-04-20/Narcotics/646110,POSSESSION OF MARIJUANA (ARREST&CITED)
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,81077101,2008-10-07T20:00:00-07:00,Theft,37.784004,-122.483014,http://sanfrancisco.crimespotting.org/crime/2008-10-07/Theft/759460,GRAND THEFT FROM A BUILDING
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,80888020,2008-08-23T00:35:00-07:00,Simple Assault,37.782185,-122.481893,http://sanfrancisco.crimespotting.org/crime/2008-08-23/Simple_Assault/749042,BATTERY
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,90063739,2009-01-17T15:00:00-08:00,Vehicle Theft,37.783078,-122.481683,http://sanfrancisco.crimespotting.org/crime/2009-01-17/Vehicle_Theft/626455,STOLEN AUTOMOBILE
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,81140598,2008-10-24T12:30:00-07:00,Burglary,37.783406,-122.48179,http://sanfrancisco.crimespotting.org/crime/2008-10-24/Burglary/763303,BURGLARY OF APARTMENT HOUSE&UNLAWFUL ENTRY
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,81081431,2008-10-09T23:00:00-07:00,Vehicle Theft,37.783904,-122.482084,http://sanfrancisco.crimespotting.org/crime/2008-10-09/Vehicle_Theft/759991,STOLEN MOTORCYCLE
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,81142754,2008-10-24T16:45:00-07:00,Vandalism,37.782152,-122.482755,http://sanfrancisco.crimespotting.org/crime/2008-10-24/Vandalism/763354,MALICIOUS MISCHIEF&VANDALISM
Alamo Elementary,38684786040695,San Francisco Unified,913,897,37.783,-122.48226,90047943,2009-01-13T11:00:00-08:00,Theft,37.782185,-122.481893,http://sanfrancisco.crimespotting.org/crime/2009-01-13/Theft/625565,GRAND THEFT OF PROPERTY
John Muir Elementary,38684786041255,San Francisco Unified,592,634,37.773764,-122.42866,86068939,2008-09-26T18:30:00-07:00,Vandalism,37.774411,-122.428244,http://sanfrancisco.crimespotting.org/crime/2008-09-26/Vandalism/756775,MALICIOUS MISCHIEF&VANDALISM
John Muir Elementary,38684786041255,San Francisco Unified,592,634,37.773764,-122.42866,80881375,2008-08-20T18:00:00-07:00,Vehicle Theft,37.773246,-122.428992,http://sanfrancisco.crimespotting.org/crime/2008-08-20/Vehicle_Theft/748527,STOLEN AUTOMOBILE
John Muir Elementary,38684786041255,San Francisco Unified,592,634,37.773764,-122.42866,90406424,2009-04-18T19:11:00-07:00,Narcotics,37.772731,-122.42893,http://sanfrancisco.crimespotting.org/crime/2009-04-18/Narcotics/645759,POSSESSION OF BASE/ROCK COCAINE (ARREST&BOOKED)
John Muir Elementary,38684786041255,San Francisco Unified,592,634,37.773764,-122.42866,80943072,2008-09-06T02:58:00-07:00,Theft,37.77423,-122.427919,http://sanfrancisco.crimespotting.org/crime/2008-09-06/Theft/752210,GRAND THEFT FROM LOCKED AUTO (ARREST&BOOKED)
John Muir Elementary,38684786041255,San Francisco Unified,592,634,37.773764,-122.42866,90093009,2009-01-23T12:10:00-08:00,Vehicle Theft,37.773348,-122.429063,http://sanfrancisco.crimespotting.org/crime/2009-01-23/Vehicle_Theft/627634,STOLEN TRUCK (UNFOUNDED)
John Muir Elementary,38684786041255,San Francisco Unified,592,634,37.773764,-122.42866,81375284,2008-12-27T13:47:00-08:00,Narcotics,37.774182,-122.429179,http://sanfrancisco.crimespotting.org/crime/2008-12-27/Narcotics/776711,POSSESSION OF HEROIN (ARREST&BOOKED)
