"code","school_name","district_name","api13","api12","latitude","longitude"
"38684780111427","Feinstein (Dianne) Elementary","San Francisco Unified","892","872","37.739963","-122.48189"
"38684780123265","Gateway Middle","San Francisco Unified","819","850","",""
"38684786040695","Alamo Elementary","San Francisco Unified","898","909","37.783000","-122.48226"
"38684786040703","Alvarado Elementary","San Francisco Unified","864","848","37.753709","-122.43816"
"38684786040737","Argonne Elementary","San Francisco Unified","885","895","37.775144","-122.47683"
"38684786040760","Harte (Bret) Elementary","San Francisco Unified","648","658","37.718631","-122.38888"
"38684786040778","Bryant Elementary","San Francisco Unified","703","730","37.755258","-122.40849"
"38684786040828","Clarendon Alternative Elementary","San Francisco Unified","956","950","37.752982","-122.45607"
"38684786040836","Cleveland Elementary","San Francisco Unified","708","674","37.720749","-122.42907"
"38684786040851","Sloat (Commodore) Elementary","San Francisco Unified","901","883","37.731909","-122.47096"
"38684786040877","Lau (Gordon J.) Elementary","San Francisco Unified","852","832","37.794403","-122.40879"
"38684786040893","Webster (Daniel) Elementary","San Francisco Unified","754","703","37.760484","-122.39627"
"38684786040919","Milk (Harvey) Civil Rights Elementary","San Francisco Unified","828","854","37.759175","-122.43634"
"38684786040943","Taylor (Edward R.) Elementary","San Francisco Unified","873","879","37.728025","-122.40734"
"38684786040950","El Dorado Elementary","San Francisco Unified","688","695","37.719259","-122.40670"
"38684786040968","Cobb (William L.) Elementary","San Francisco Unified","726","708","37.788200","-122.43919"
"38684786040984","Fairmount Elementary","San Francisco Unified","820","758","37.740653","-122.42562"
"38684786041008","Key (Francis Scott) Elementary","San Francisco Unified","889","899","37.758151","-122.50253"
"38684786041016","McCoppin (Frank) Elementary","San Francisco Unified","841","805","37.776285","-122.46398"
"38684786041040","Garfield Elementary","San Francisco Unified","829","862","37.801771","-122.40673"
"38684786041065","Peabody (George) Elementary","San Francisco Unified","905","926","37.783945","-122.46453"
"38684786041073","Glen Park Elementary","San Francisco Unified","720","777","37.733110","-122.43612"
"38684786041115","Grattan Elementary","San Francisco Unified","917","922","37.763884","-122.45053"
"38684786041123","Guadalupe Elementary","San Francisco Unified","804","819","37.710461","-122.43442"
"38684786041131","Yick Wo Elementary","San Francisco Unified","908","915","37.801906","-122.41627"
"38684786041149","Chavez (Cesar) Elementary","San Francisco Unified","690","661","37.754914","-122.41487"
"38684786041156","Hillcrest Elementary","San Francisco Unified","756","723","37.729053","-122.41924"
"38684786041206","Parker (Jean) Elementary","San Francisco Unified","830","830","37.797614","-122.41102"
"38684786041230","Jefferson Elementary","San Francisco Unified","924","909","37.763575","-122.47636"
"38684786041255","Muir (John) Elementary","San Francisco Unified","731","714","37.773764","-122.42866"
"38684786041271","Ortega (Jose) Elementary","San Francisco Unified","857","842","37.716139","-122.46626"
"38684786041289","Serra (Junipero) Elementary","San Francisco Unified","752","712","37.736735","-122.42110"
"38684786041305","Lafayette Elementary","San Francisco Unified","913","919","37.777055","-122.49687"
"38684786041321","Lakeshore Alternative Elementary","San Francisco Unified","771","772","37.730607","-122.48618"
"38684786041339","Lawton Alternative Elementary","San Francisco Unified","932","928","37.757946","-122.48962"
"38684786041347","Flynn (Leonard R.) Elementary","San Francisco Unified","694","737","37.748215","-122.41203"
