zpid,street,zipcode,city,state,latitude,longitude,amount,lowAmount,highAmount,percentile,elemSchool,midSchool
108265935,3439 Sacramento St APT 202,94118,San Francisco,CA,,,1907305,1697501,2078962,76,Sutro Elementary,Roosevelt Middle
108873032,2747 Green St,94123,San Francisco,CA,37.794723,-122.444333,6830455,5942496,7923328,97,William L. Cobb Elementary,Roosevelt Middle
110541025,55 Rico Way,94123,San Francisco,CA,37.804871,-122.439578,2690121,2286603,3012936,68,Sherman Elementary,Marina Middle
110541026,35 Navajo Ave,94112,San Francisco,CA,37.719736,-122.443858,552787,503036,608066,21,Monroe Elementary,Herbert Hoover Middle
111039171,728-730 Bay St,94109,San Francisco,CA,,,2313530,1712012,2938183,87,Yick Wo Elementary,Francisco Middle
111710709,723 Taylor St # 201,94108,San Francisco,CA,37.789193,-122.412232,604221,531714,676728,27,Redding Elementary,Marina Middle
111710710,723 Taylor St # 202,94108,San Francisco,CA,,,611767,532237,672944,29,Redding Elementary,Marina Middle
111710711,723 Taylor St # 301,94108,San Francisco,CA,,,623152,535911,685467,31,Redding Elementary,Marina Middle
111710713,723 Taylor St # 402,94108,San Francisco,CA,,,674608,600401,721831,35,Redding Elementary,Marina Middle
111710714,723 Taylor St # 501,94108,San Francisco,CA,,,623152,535911,685467,31,Redding Elementary,Marina Middle
111710715,723 Taylor St # 502,94108,San Francisco,CA,,,738644,553983,975010,41,Redding Elementary,Marina Middle
111710717,3190 Scott St APT 305,94123,San Francisco,CA,,,1105794,917809,1293779,17,William L. Cobb Elementary,Roosevelt Middle
111710718,3190 Scott St APT 310,94123,San Francisco,CA,,,1019563,856433,1192889,15,William L. Cobb Elementary,Roosevelt Middle
111710720,238 Olive St APT 401,94109,San Francisco,CA,,,815932,718020,905685,38,Rosa Parks Elementary,Presidio Middle
111710722,818 Van Ness Ave APT 203,94109,San Francisco,CA,,,622777,560499,685055,21,Tenderloin Elementary,Francisco Middle
111710727,818 Van Ness Ave APT 209,94109,San Francisco,CA,,,544241,495259,614992,12,Tenderloin Elementary,Francisco Middle
111710741,818 Van Ness Ave APT 408,94109,San Francisco,CA,,,622465,560219,684711,21,Tenderloin Elementary,Francisco Middle
111710743,818 Van Ness Ave APT 502,94109,San Francisco,CA,,,722857,628886,787914,30,Tenderloin Elementary,Francisco Middle
111710752,818 Van Ness Ave APT 605,94109,San Francisco,CA,,,760628,684565,844297,33,Tenderloin Elementary,Francisco Middle
111710753,818 Van Ness Ave APT 607,94109,San Francisco,CA,,,619817,557835,681799,20,Tenderloin Elementary,Francisco Middle
111710754,818 Van Ness Ave APT 608,94109,San Francisco,CA,,,577474,508177,635221,16,Tenderloin Elementary,Francisco Middle
111710760,818 Van Ness Ave APT 707,94109,San Francisco,CA,,,647765,576511,712541,24,Tenderloin Elementary,Francisco Middle
111710764,818 Van Ness Ave APT 806,94109,San Francisco,CA,,,895678,779240,1021073,45,Tenderloin Elementary,Francisco Middle
111710803,77 Van Ness Ave APT 504,94102,San Francisco,CA,,,761152,692648,822044,54,John Muir Elementary,James Lick Middle
111710804,77 Van Ness Ave APT 505,94102,San Francisco,CA,,,758645,697953,826923,54,John Muir Elementary,James Lick Middle
111710806,77 Van Ness Ave APT 507,94102,San Francisco,CA,37.776062,-122.419853,758846,698138,819554,54,John Muir Elementary,James Lick Middle
111710827,77 Van Ness Ave APT 801,94102,San Francisco,CA,,,720156,626536,792172,49,John Muir Elementary,James Lick Middle
111710843,393 Carl St,94117,San Francisco,CA,,,1175150,998878,1363174,42,Grattan Elementary,A. P. Giannini Middle
111710846,1066 Guerrero St,94110,San Francisco,CA,37.754135,-122.423429,1124944,933704,1282436,70,Harvey Milk Civil Rights Elementary,Everett Middle
111710849,16 Jessie St APT 101,94105,San Francisco,CA,,,929314,808503,1031539,45,Daniel Webster Elementary,
111710850,16 Jessie St APT 102,94105,San Francisco,CA,,,823770,700205,955573,34,Daniel Webster Elementary,
111710851,16 Jessie St APT 103,94105,San Francisco,CA,,,764679,695858,856440,28,Daniel Webster Elementary,
111710852,16 Jessie St APT 105,94105,San Francisco,CA,,,756872,681185,870403,27,Daniel Webster Elementary,
111710853,16 Jessie St APT 106,94105,San Francisco,CA,,,754641,664084,867837,27,Daniel Webster Elementary,
111710854,16 Jessie St APT 107,94105,San Francisco,CA,,,656379,577614,754836,13,Daniel Webster Elementary,
111710855,16 Jessie St APT 108,94105,San Francisco,CA,,,805500,749115,902160,32,Daniel Webster Elementary,
111710856,16 Jessie St APT 109,94105,San Francisco,CA,,,904916,796326,986358,42,Daniel Webster Elementary,
111710857,16 Jessie St APT 110,94105,San Francisco,CA,,,688517,578354,805565,16,Daniel Webster Elementary,
111710858,16 Jessie St APT 112,94105,San Francisco,CA,,,1075113,946099,1204127,56,Daniel Webster Elementary,
111710859,16 Jessie St APT 113,94105,San Francisco,CA,,,921767,820373,1023161,44,Daniel Webster Elementary,
111710874,16 Jessie St APT 305,94105,San Francisco,CA,,,1050358,913811,1228919,54,Daniel Webster Elementary,
111710894,301 Mission St UNIT 3A,94105,San Francisco,CA,,,1626416,1366189,1870378,81,Daniel Webster Elementary,
111710895,301 Mission St UNIT 3H,94105,San Francisco,CA,,,955178,783246,1203524,47,Daniel Webster Elementary,
111710897,301 Mission St UNIT 5A,94105,San Francisco,CA,,,1615397,1373087,1890015,81,Daniel Webster Elementary,
111710898,301 Mission St UNIT 5H,94105,San Francisco,CA,,,894175,795816,992534,41,Daniel Webster Elementary,
111710899,301 Mission St UNIT 6C,94105,San Francisco,CA,,,1011311,839388,1203460,52,Daniel Webster Elementary,
111710901,301 Mission St UNIT 6J,94105,San Francisco,CA,37.790542,-122.395927,1302875,1120472,1511335,70,Daniel Webster Elementary,
111710902,301 Mission St UNIT 7B,94105,San Francisco,CA,,,771375,663382,871654,29,Daniel Webster Elementary,
111710904,301 Mission St UNIT 7F,94105,San Francisco,CA,,,2337265,1752949,3155308,92,Daniel Webster Elementary,
111710905,301 Mission St UNIT 7G,94105,San Francisco,CA,,,1329993,1130494,1542792,72,Daniel Webster Elementary,
111710907,301 Mission St UNIT 8D,94105,San Francisco,CA,,,858009,746468,978130,37,Daniel Webster Elementary,
111710909,301 Mission St UNIT 8J,94105,San Francisco,CA,,,1202632,1058316,1407079,64,Daniel Webster Elementary,
111710910,301 Mission St UNIT 9C,94105,San Francisco,CA,,,1880967,1617632,2106683,87,Daniel Webster Elementary,
111710915,301 Mission St UNIT 10C,94105,San Francisco,CA,,,1921352,1652363,2113487,87,Daniel Webster Elementary,
111710919,301 Mission St UNIT 10H,94105,San Francisco,CA,,,776417,659954,869587,29,Daniel Webster Elementary,
111710922,301 Mission St UNIT 11D,94105,San Francisco,CA,,,806693,677622,895429,32,Daniel Webster Elementary,
